(Jun 05 2024 16:48:45,    5178 sec) SelfTest()           Executing self-test for ApfId 22205. [FwRev 122122]
(Jun 05 2024 16:48:46,    5179 sec) SelfTest()           Apf11 Family:0x36 Group:0x0000 SerNo:0x037764ad Crc:0x48 SeqNo:205
(Jun 05 2024 16:48:46,    5179 sec) SelfTest()           Passed: FatFs volume mounted. [ChaN/ELM Rev 86604]
(Jun 05 2024 16:48:46,    5179 sec) SelfTest()           Passed: FatFs volume: size(7438MB) sector-size(512B) block-size(512B)
(Jun 05 2024 16:48:50,    5183 sec) SelfTest()           Passed: FatFs volume reconditioned.
(Jun 05 2024 16:48:51,    5184 sec) PistonMoveAbsWTO()    231->227 230 229 228 227 [17sec, 14.9Volts, 0.168Amps, CPT:17sec]
(Jun 05 2024 16:49:09,    5202 sec) PistonMoveAbsWTO()    227->231 228 229 230 231 [17sec, 14.8Volts, 0.173Amps, CPT:34sec]
(Jun 05 2024 16:49:26,    5219 sec) SelfTest()           Passed: Timed piston movements from 231 to 227 counts and back.
(Jun 05 2024 16:49:26,    5219 sec) SelfTest()           Passed: Internal pressure [203, 11.9psi] less than threshold [237, 13.9psi].
(Jun 05 2024 16:49:28,    5221 sec) SelfTest()           Passed: Response received from RBR.
(Jun 05 2024 16:49:28,    5221 sec) SelfTest()           Passed: Rbr SerNo: 212804
(Jun 05 2024 16:49:28,    5221 sec) SelfTest()           Passed: RBR (SerNo 212804) FwRev accepted: [1.146]
(Jun 05 2024 16:49:28,    5221 sec) SelfTest()           Passed: RBR (SerNo 212804) FwType accepted: [104]
(Jun 05 2024 16:49:29,    5222 sec) SelfTest()           Passed: RBR (SerNo 212804) model accepted: [RBRargo3]
(Jun 05 2024 16:49:29,    5222 sec) SelfTest()           Passed: RBR (SerNo 212804) hardware revision accepted: [L/5659B/A]
(Jun 05 2024 16:49:30,    5223 sec) RbrConfig()          [Pass,err=1]: Establish RBR communication protocol.
(Jun 05 2024 16:49:31,    5224 sec) RbrConfig()          [Pass,err=1]: Initialize RBR default settings.
(Jun 05 2024 16:49:31,    5224 sec) RbrConfig()          [Pass,err=1]: Initialize memory format.
(Jun 05 2024 16:49:32,    5225 sec) RbrConfig()          [Pass,err=1]: Set atmospheric pressure to 10.1325 dbars.
(Jun 05 2024 16:49:37,    5230 sec) RbrConfig()          [Pass,err=1]: Enable all RBR data channels.
(Jun 05 2024 16:49:38,    5231 sec) RbrConfig()          [Pass,err=1]: Configure 1Hz continuous sampling.
(Jun 05 2024 16:49:38,    5231 sec) RbrConfig()          [Pass,err=1]: Disable streaming mode.
(Jun 05 2024 16:49:39,    5232 sec) RbrConfig()          [Pass,err=1]: Disable simulation mode.
(Jun 05 2024 16:49:39,    5232 sec) RbrConfig()          [Pass,err=1]: Disable threshold sampling.
(Jun 05 2024 16:49:40,    5233 sec) RbrConfig()          [Pass,err=1]: Disable twist-activation.
(Jun 05 2024 16:49:40,    5233 sec) RbrConfig()          [Pass,err=1]: Neuter time-based automatic activation/deactivation.
(Jun 05 2024 16:49:40,    5233 sec) RbrConfig()          RBR configuration successful.
(Jun 05 2024 16:49:40,    5233 sec) SelfTest()           Passed: RBR configuration was successful.
(Jun 05 2024 16:49:41,    5234 sec) SelfTest()           RBR internal energy model initialized.
(Jun 05 2024 16:49:41,    5234 sec) SelfTest()           RBR clock synchronized.
(Jun 05 2024 16:49:44,    5237 sec) SelfTest()           Passed: LBT model: 9523N
(Jun 05 2024 16:49:44,    5237 sec) SelfTest()           Passed: LBT firmware revision: DB20004
(Jun 05 2024 16:49:46,    5239 sec) IrModemConfigure()   Modem configured for fixed (19200) baud rate.
(Jun 05 2024 16:49:46,    5239 sec) IrModemConfigure()   Configuration saved to modem's NVRAM.
(Jun 05 2024 16:49:46,    5239 sec) IrModemConfigure()   Modem configuration successful.
(Jun 05 2024 16:49:46,    5239 sec) SelfTest()           Passed: LBT configuration was successful.
(Jun 05 2024 16:49:47,    5240 sec) SelfTest()           Passed: LBT IMEI: 300125061190220
(Jun 05 2024 16:49:53,    5246 sec) SelfTest()           Passed: SIM card ICCID: 8988169234005115944
(Jun 05 2024 16:49:54,    5247 sec) ConfigGarmin15()     Garmin GPS15 configuration initiated.
(Jun 05 2024 16:50:03,    5256 sec) ConfigGarmin15()     Garmin GPS15 successfully configured.
(Jun 05 2024 16:50:04,    5257 sec) PActivateInit()      Self-test passed.
(Jun 05 2024 16:50:04,    5257 sec) PActivateInit()      Pressure activation mode initiated. [itime=5257]
