FloatId,OCR0,OCR1,OCR2,OCR3
0068,380,443,490,555
21883,380,412,490,PAR
21883,380,412,490,PAR
23186,380,412,490,PAR
23497,380,443,490,555
22578,380,412,490,PAR
22438,380,412,490,PAR
0067,380,443,490,555
23509,380,443,490,555
19314,380,412,490,PAR
19191,380,412,490,PAR
23082,380,412,490,PAR
21216,380,412,490,PAR
23299,380,443,490,555
21206,380,412,490,PAR
23734,380,443,490,555
23962,380,412,490,PAR
21878,380,443,490,PAR
0063,380,412,490,PAR
23728,380,443,491,555
23808,380,443,490,555
